task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,method,alpha,validation_objective,test_bce,test_auroc,test_ap
linear_control,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6877766115883853,9.956030812813823e-05,True,1278,0,0.6966944273940688,0.515573998194319,0.519825561953148,mlp_uniform,0.01,0.6966944273940688,0.6935919583367529,0.5094012048820292,0.541966302724989
linear_control,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.48648876577141803,0.0014819161590610707,False,1500,1500,0.45824586232623216,0.8663969720119453,0.8659028991507,mlp_cost_weighted,0.0,0.45824586232623216,0.47599492150397665,0.8567683466726853,0.8630922970862069
linear_control,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.48648876577141803,0.0014819161590610707,False,1500,1500,0.45824586232623216,0.8663969720119453,0.8659028991507,mlp_cost_weighted,0.0005,0.47324586232623217,0.47599492150397665,0.8567683466726853,0.8630922970862069
linear_control,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.48648876577141803,0.0014819161590610707,False,1500,1500,0.45824586232623216,0.8663969720119453,0.8659028991507,mlp_cost_weighted,0.001,0.4882458623262321,0.47599492150397665,0.8567683466726853,0.8630922970862069
linear_control,51967,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.48648876577141803,0.0014819161590610707,False,1500,1500,0.45824586232623216,0.8663969720119453,0.8659028991507,mlp_cost_weighted,0.003,0.5482458623262322,0.47599492150397665,0.8567683466726853,0.8630922970862069
linear_control,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6877766115883853,9.956030812813823e-05,True,1278,0,0.6966944273940688,0.515573998194319,0.519825561953148,mlp_cost_weighted,0.01,0.6966944273940688,0.6935919583367529,0.5094012048820292,0.541966302724989
linear_control,51967,logistic_cost_weighted_3,logistic_cost_weighted,0.01,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",125.0,4,14,,,,,0,0.452568991961941,0.8690013195360791,0.8684931413200812,logistic_cost_weighted,0.0,0.452568991961941,0.47045874880887445,0.8596677025642807,0.8659404482640002
linear_control,51967,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4564569166396769,0.8684457253975971,0.8680071444872962,logistic_cost_weighted,0.0005,0.4714569166396769,0.47094292611175864,0.859546172676609,0.866631132540959
linear_control,51967,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4564569166396769,0.8684457253975971,0.8680071444872962,logistic_cost_weighted,0.001,0.48645691663967694,0.47094292611175864,0.859546172676609,0.866631132540959
linear_control,51967,logistic_cost_weighted_4,logistic_cost_weighted,0.03,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,,,,,0,0.4564569166396769,0.8684457253975971,0.8680071444872962,logistic_cost_weighted,0.003,0.5464569166396769,0.47094292611175864,0.859546172676609,0.866631132540959
linear_control,51967,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6933585710546761,0.5085075352455031,0.526043611439734,logistic_cost_weighted,0.01,0.6933585710546761,0.6916996751723415,0.5329606416778069,0.5330938541633313
linear_control,51967,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.17211746710068349,0.0005564690181474307,False,1500,0,1.0873214183603253,0.7782137648447809,0.7681729245266176,mlp_all,,,1.126188209713907,0.7545443497282938,0.7771108899312669
linear_control,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6877766115883853,9.956030812813823e-05,True,1278,0,0.6966944273940688,0.515573998194319,0.519825561953148,mlp_free,,,0.6935919583367529,0.5094012048820292,0.541966302724989
linear_control,51967,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.4559433195565396,0.8669699284672547,0.8634092789679302,logistic_all,,,0.48194729634886085,0.8554488793208216,0.8577587662764407
