task,method,alpha,repeats,cost_mean,cost_sd,n_groups_mean,n_groups_sd,n_features_mean,n_features_sd,test_bce_mean,test_bce_sd,test_auroc_mean,test_auroc_sd,test_ap_mean,test_ap_sd
linear_control,mlp_free,,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6947275157071141,0.001070510645599756,0.5019328749190052,0.007255057948560509,0.5175459374068593,0.032538963920489834
linear_control,mlp_uniform,0.0,3,355.0,0.0,6.0,0.0,20.0,0.0,0.4525438513028226,0.030275733955042045,0.8698263190583703,0.016491926479134864,0.8766473915261032,0.020230314835874442
linear_control,mlp_uniform,0.0005,3,50.0,34.64101615137755,2.3333333333333335,0.5773502691896258,9.0,1.7320508075688772,0.45372663201920976,0.01963328736685568,0.8729173795576655,0.014197023282063655,0.879969574433245,0.01588514622762637
linear_control,mlp_uniform,0.001,3,50.0,34.64101615137755,2.3333333333333335,0.5773502691896258,9.0,1.7320508075688772,0.45372663201920976,0.01963328736685568,0.8729173795576655,0.014197023282063655,0.879969574433245,0.01588514622762637
linear_control,mlp_uniform,0.003,3,20.0,17.320508075688775,1.3333333333333333,1.1547005383792517,6.0,3.4641016151377544,0.5261464413289466,0.145019643034592,0.7572093522192279,0.21460822062249638,0.7732380023494597,0.20032331035221665
linear_control,mlp_uniform,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6947275157071141,0.001070510645599756,0.5019328749190052,0.007255057948560509,0.5175459374068593,0.032538963920489834
nonlinear_interaction,logistic_all,,3,355.0,0.0,6.0,0.0,20.0,0.0,0.6967443539841606,0.0023293976551244607,0.5232925409996767,0.0071030092732566885,0.5233992757803311,0.009043464008165678
nonlinear_interaction,logistic_cost_weighted,0.0,3,0.0,0.0,0.0,0.0,2.0,0.0,0.694661433678074,0.0023561839287360984,0.4928901939960315,0.020580620093554904,0.5055063336086327,0.025269728602294147
nonlinear_interaction,logistic_cost_weighted,0.0005,3,0.0,0.0,0.0,0.0,2.0,0.0,0.694661433678074,0.0023561839287360984,0.4928901939960315,0.020580620093554904,0.5055063336086327,0.025269728602294147
nonlinear_interaction,logistic_cost_weighted,0.001,3,0.0,0.0,0.0,0.0,2.0,0.0,0.694661433678074,0.0023561839287360984,0.4928901939960315,0.020580620093554904,0.5055063336086327,0.025269728602294147
nonlinear_interaction,logistic_cost_weighted,0.003,3,0.0,0.0,0.0,0.0,2.0,0.0,0.694661433678074,0.0023561839287360984,0.4928901939960315,0.020580620093554904,0.5055063336086327,0.025269728602294147
nonlinear_interaction,logistic_cost_weighted,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.694661433678074,0.0023561839287360984,0.4928901939960315,0.020580620093554904,0.5055063336086327,0.025269728602294147
nonlinear_interaction,logistic_free,,3,0.0,0.0,0.0,0.0,2.0,0.0,0.694661433678074,0.0023561839287360984,0.4928901939960315,0.020580620093554904,0.5055063336086327,0.025269728602294147
nonlinear_interaction,mlp_all,,3,355.0,0.0,6.0,0.0,20.0,0.0,0.917639967198225,0.037148529164099685,0.7632233041187425,0.013757075832923156,0.7648405345270057,0.013426099653360803
nonlinear_interaction,mlp_cost_weighted,0.0,3,41.666666666666664,20.207259421636902,2.3333333333333335,0.5773502691896258,9.0,1.7320508075688772,0.4471039980369513,0.017164005647830872,0.8759427033783873,0.01268008735212949,0.8815677198969979,0.013067203121143083
nonlinear_interaction,mlp_cost_weighted,0.0005,3,41.666666666666664,20.207259421636902,2.3333333333333335,0.5773502691896258,9.0,1.7320508075688772,0.4471039980369513,0.017164005647830872,0.8759427033783873,0.01268008735212949,0.8815677198969979,0.013067203121143083
nonlinear_interaction,mlp_cost_weighted,0.001,3,41.666666666666664,20.207259421636902,2.3333333333333335,0.5773502691896258,9.0,1.7320508075688772,0.4471039980369513,0.017164005647830872,0.8759427033783873,0.01268008735212949,0.8815677198969979,0.013067203121143083
nonlinear_interaction,mlp_cost_weighted,0.003,3,41.666666666666664,20.207259421636902,2.3333333333333335,0.5773502691896258,9.0,1.7320508075688772,0.4471039980369513,0.017164005647830872,0.8759427033783873,0.01268008735212949,0.8815677198969979,0.013067203121143083
nonlinear_interaction,mlp_cost_weighted,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6985954868653731,0.006936188717882702,0.4869409925140851,0.02792787116202526,0.5035658720050239,0.022724740210902355
nonlinear_interaction,mlp_free,,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6985954868653731,0.006936188717882702,0.4869409925140851,0.02792787116202526,0.5035658720050239,0.022724740210902355
nonlinear_interaction,mlp_uniform,0.0,3,355.0,0.0,6.0,0.0,20.0,0.0,0.4479347096163346,0.014614698178034742,0.8713932968277281,0.011957227087716321,0.8778128305375498,0.011917979152541234
nonlinear_interaction,mlp_uniform,0.0005,3,61.666666666666664,30.13856886670854,2.6666666666666665,0.5773502691896258,10.0,1.7320508075688772,0.5473555154625375,0.027479108871280484,0.8414327068823573,0.020993412556062345,0.8479648012335738,0.02330699069284902
nonlinear_interaction,mlp_uniform,0.001,3,61.666666666666664,30.13856886670854,2.6666666666666665,0.5773502691896258,10.0,1.7320508075688772,0.5473555154625375,0.027479108871280484,0.8414327068823573,0.020993412556062345,0.8479648012335738,0.02330699069284902
nonlinear_interaction,mlp_uniform,0.003,3,10.0,17.320508075688775,0.6666666666666666,1.1547005383792517,4.0,3.4641016151377544,0.6482526137893458,0.08033703443524941,0.6099176645627896,0.18562959649955202,0.6209376019592957,0.18057973531547405
nonlinear_interaction,mlp_uniform,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6985954868653731,0.006936188717882702,0.4869409925140851,0.02792787116202526,0.5035658720050239,0.022724740210902355
