task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap
synthetic_expensive_signal,51966,4,[2],"[0, 1, 8, 9, 10]",1,5,35.0,False,3.845205840066361e-09,0.6213485522164591,0.7077387464984365,0.6695867143804148
synthetic_expensive_signal,51966,5,"[0, 2]","[0, 1, 2, 3, 4, 8, 9, 10]",2,8,45.0,False,9.53837247772186e-10,0.6214157289847693,0.7079249792428087,0.6692206748809871
synthetic_expensive_signal,51966,6,"[1, 2]","[0, 1, 5, 6, 7, 8, 9, 10]",2,8,55.0,False,3.406102335402333e-09,0.6214546571841346,0.7076844286146612,0.6681600889400812
synthetic_expensive_signal,51966,7,"[0, 1, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",3,11,65.0,False,5.844507511130804e-09,0.6215460046885327,0.7073585213120097,0.6682931634750517
synthetic_expensive_signal,51966,8,[3],"[0, 1, 11, 12, 13]",1,5,60.0,False,9.535938773924899e-10,0.6865790942248892,0.555353803415819,0.4911418765443514
synthetic_expensive_signal,51966,9,"[0, 3]","[0, 1, 2, 3, 4, 11, 12, 13]",2,8,70.0,False,1.2614984196571603e-09,0.6867415947331581,0.5548649424618417,0.4899665320073824
synthetic_expensive_signal,51966,10,"[1, 3]","[0, 1, 5, 6, 7, 11, 12, 13]",2,8,80.0,False,2.8110560866626697e-09,0.6871984527575496,0.5528396613667933,0.49243547785499453
synthetic_expensive_signal,51966,11,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",3,11,90.0,False,1.3716494732106968e-09,0.6873862658156284,0.552094730389304,0.49273978553950276
synthetic_expensive_signal,51966,12,"[2, 3]","[0, 1, 8, 9, 10, 11, 12, 13]",2,8,95.0,False,1.1001726894815022e-09,0.6257224551953542,0.7006541425146076,0.6603948252610896
synthetic_expensive_signal,51966,13,"[0, 2, 3]","[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13]",3,11,105.0,False,7.802451614030119e-09,0.6258015203458344,0.7006153440261967,0.6604611242881147
synthetic_expensive_signal,51966,14,"[1, 2, 3]","[0, 1, 5, 6, 7, 8, 9, 10, 11, 12, 13]",3,11,115.0,False,7.479217317535953e-09,0.6258648281408757,0.7005532664447394,0.660701835743041
