task,method,alpha,repeats,cost_mean,cost_sd,n_groups_mean,n_groups_sd,n_features_mean,n_features_sd,test_bce_mean,test_bce_sd,test_auroc_mean,test_auroc_sd,test_ap_mean,test_ap_sd
synthetic_expensive_signal,group_lasso_path_refit,0.00025,3,125.0,0.0,2.0,0.0,8.0,0.0,0.45441177608985545,0.013256775736665437,0.8658197000183874,0.009590502353004873,0.8493285161244097,0.009380456287075508
synthetic_expensive_signal,group_lasso_path_refit,0.0005,3,125.0,0.0,2.0,0.0,8.0,0.0,0.45441177608985545,0.013256775736665437,0.8658197000183874,0.009590502353004873,0.8493285161244097,0.009380456287075508
synthetic_expensive_signal,group_lasso_path_refit,0.001,3,125.0,0.0,2.0,0.0,8.0,0.0,0.45441177608985545,0.013256775736665437,0.8658197000183874,0.009590502353004873,0.8493285161244097,0.009380456287075508
synthetic_expensive_signal,group_lasso_path_refit,0.002,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,group_lasso_path_refit,0.005,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,group_lasso_path_refit,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_expensive_signal,group_lasso_path_refit,0.02,3,0.0,0.0,0.0,0.0,2.0,0.0,0.6802160347911083,0.007500991878104365,0.5861363864435408,0.024116912226737126,0.5217548055197687,0.024829747490230314
synthetic_free_signal,all_checks,,3,355.0,0.0,6.0,0.0,20.0,0.0,0.48405366941870537,0.036148785800065,0.842067231306956,0.024925624521240735,0.8177846542434128,0.03788629857995061
synthetic_free_signal,enumerated_refit,0.0,3,143.33333333333334,133.44786747390657,2.3333333333333335,1.5275252316519468,9.0,4.58257569495584,0.48504800323022157,0.035109529667974385,0.8413319736540602,0.024357266806670257,0.8175848337156747,0.039302609793576006
synthetic_free_signal,enumerated_refit,0.00025,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
synthetic_free_signal,enumerated_refit,0.0005,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
synthetic_free_signal,enumerated_refit,0.001,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
synthetic_free_signal,enumerated_refit,0.002,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
synthetic_free_signal,enumerated_refit,0.005,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
synthetic_free_signal,enumerated_refit,0.01,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
synthetic_free_signal,enumerated_refit,0.02,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
synthetic_free_signal,free_only,,3,0.0,0.0,0.0,0.0,2.0,0.0,0.4834690927872592,0.030766725187569642,0.8421684604442312,0.022113377020445513,0.8180160772439558,0.03710537839636636
