task,seed,lambda,lambda_max_fraction,mask_id,selected_groups,cost,objective,kkt_residual,iterations,converged
synthetic_free_signal,51966,0.0001253964638315389,0.011382417500052656,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46654572307666403,8.744368323836023e-08,29,True
synthetic_free_signal,51966,0.00010933046748993977,0.0099240838889863,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46652910411303367,8.976687376350135e-08,28,True
synthetic_free_signal,51966,9.532287240274139e-05,0.008652594322355657,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46651458551325325,9.224380817410075e-08,27,True
synthetic_free_signal,51966,8.310995289529363e-05,0.0075440100411030275,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46650190509106826,9.47449804653915e-08,26,True
synthetic_free_signal,51966,7.246177224994407e-05,0.006577459358428474,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46649083259726043,9.72743784315609e-08,25,True
synthetic_free_signal,51966,6.317785361060045e-05,0.005734744701566265,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4664811660233485,9.983771030312735e-08,24,True
synthetic_free_signal,51966,5.508340553795308e-05,0.005,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46647272828442415,8.752082761457975e-08,24,True
synthetic_free_signal,51966,0.0,0.0,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4664150695086567,8.661800453241416e-08,36,True
synthetic_cheap_signal,51967,0.14904443396542447,1.05,0,[],0.0,0.6689081819737956,4.912136927075048e-08,18,True
synthetic_cheap_signal,51967,0.1299486217099757,0.9154723136264681,1,[0],10.0,0.6679451436685219,5.383827099519901e-08,17,True
synthetic_cheap_signal,51967,0.11329939558990683,0.7981805304919987,1,[0],10.0,0.6633216497842285,7.473471112464239e-08,19,True
synthetic_cheap_signal,51967,0.09878329506016424,0.6959163589915349,3,"[0, 1]",30.0,0.655937582802005,7.687481980029835e-08,21,True
synthetic_cheap_signal,51967,0.08612702064416632,0.6067544373871318,3,"[0, 1]",30.0,0.6454895462885285,9.003603768891952e-08,23,True
synthetic_cheap_signal,51967,0.07509228843320909,0.5290160843789748,3,"[0, 1]",30.0,0.6325659865875985,7.483276579150487e-08,26,True
synthetic_cheap_signal,51967,0.06547134383567237,0.46123769401146186,3,"[0, 1]",30.0,0.6181055242688218,7.363098277008328e-08,29,True
synthetic_cheap_signal,51967,0.057083050111882847,0.4021431798746762,3,"[0, 1]",30.0,0.6028093658420745,8.158791865502644e-08,32,True
synthetic_cheap_signal,51967,0.04976947805217239,0.35061994979902356,3,"[0, 1]",30.0,0.5872037813524166,9.748783522522159e-08,35,True
synthetic_cheap_signal,51967,0.04339293259086093,0.3056979587105792,3,"[0, 1]",30.0,0.5716822883522553,8.996615471370235e-08,39,True
synthetic_cheap_signal,51967,0.03783336037523127,0.26653144526825,3,"[0, 1]",30.0,0.5565355356209395,8.949164461037383e-08,43,True
synthetic_cheap_signal,51967,0.032986089480930396,0.23238300843231544,3,"[0, 1]",30.0,0.5419733909161287,9.29870077368659e-08,47,True
synthetic_cheap_signal,51967,0.028759858718663864,0.2026097241685818,3,"[0, 1]",30.0,0.5281418444714754,9.859432303080496e-08,51,True
synthetic_cheap_signal,51967,0.025075099429281482,0.17665104090269723,3,"[0, 1]",30.0,0.5151362932565818,8.587079465997454e-08,56,True
synthetic_cheap_signal,51967,0.021862437418036243,0.15401822582830108,3,"[0, 1]",30.0,0.5030121837053502,9.207900542789062e-08,60,True
synthetic_cheap_signal,51967,0.019061386823431906,0.13428516337112248,3,"[0, 1]",30.0,0.4917936526596509,9.685122779646253e-08,64,True
synthetic_cheap_signal,51967,0.0166192113296917,0.11708033256863788,3,"[0, 1]",30.0,0.48148060383354035,9.942024560167454e-08,68,True
synthetic_cheap_signal,51967,0.014489931282514357,0.10207981232073073,3,"[0, 1]",30.0,0.4720545299287092,9.930023784650476e-08,72,True
synthetic_cheap_signal,51967,0.012633458014754241,0.08900118281887143,7,"[0, 1, 2]",65.0,0.4634591981022706,9.754443705789122e-08,76,True
synthetic_cheap_signal,51967,0.01101483908368563,0.07759820833398522,7,"[0, 1, 2]",65.0,0.45562506859142843,9.341127499846389e-08,80,True
synthetic_cheap_signal,51967,0.00960360020968089,0.06765620125407824,15,"[0, 1, 2, 3]",125.0,0.44851799772105877,9.930793007843232e-08,83,True
synthetic_cheap_signal,51967,0.008373171526762093,0.05898798008880853,15,"[0, 1, 2, 3]",125.0,0.4420722830809614,9.195138133434912e-08,87,True
synthetic_cheap_signal,51967,0.0073003873428534845,0.05143034534100341,15,"[0, 1, 2, 3]",125.0,0.43623924744512216,9.194836187799446e-08,90,True
synthetic_cheap_signal,51967,0.006365049991553774,0.04484100689517775,31,"[0, 1, 2, 3, 4]",215.0,0.43097630158315775,9.819292894172181e-08,92,True
synthetic_cheap_signal,51967,0.005549549563919874,0.03909590507397029,31,"[0, 1, 2, 3, 4]",215.0,0.42623992992229354,9.132574758335956e-08,95,True
synthetic_cheap_signal,51967,0.0048385323608252226,0.03408687492513176,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4219888409256173,9.256818612133081e-08,97,True
synthetic_cheap_signal,51967,0.004218611823734479,0.029719609763815626,63,"[0, 1, 2, 3, 4, 5]",355.0,0.41818060680862407,9.935078696873083e-08,98,True
synthetic_cheap_signal,51967,0.0036781165014915995,0.025911885629101027,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4147799098149219,9.382661206913981e-08,100,True
synthetic_cheap_signal,51967,0.0032068703080078143,0.022592013225997663,63,"[0, 1, 2, 3, 4, 5]",355.0,0.41175174866314307,9.467070619376729e-08,101,True
synthetic_cheap_signal,51967,0.0027960009336875603,0.019697488207127474,63,"[0, 1, 2, 3, 4, 5]",355.0,0.40906210750304256,9.303194355666983e-08,102,True
synthetic_cheap_signal,51967,0.0024377728034902053,0.017173814382484817,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4066784835539268,9.748045164142685e-08,102,True
synthetic_cheap_signal,51967,0.0021254414366732007,0.014973477701452284,63,"[0, 1, 2, 3, 4, 5]",355.0,0.40457024209734543,9.976231643980458e-08,102,True
synthetic_cheap_signal,51967,0.001853126466198837,0.013055051689888427,63,"[0, 1, 2, 3, 4, 5]",355.0,0.40270883283426145,9.190072579412975e-08,103,True
synthetic_cheap_signal,51967,0.0016157009270985623,0.011382417500052658,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4010678973480104,9.84944649505677e-08,102,True
synthetic_cheap_signal,51967,0.0014086947293898585,0.0099240838889863,63,"[0, 1, 2, 3, 4, 5]",355.0,0.39962329319994516,9.549148223796408e-08,102,True
synthetic_cheap_signal,51967,0.0012282104981980425,0.008652594322355657,63,"[0, 1, 2, 3, 4, 5]",355.0,0.39835305616126077,9.909476086264184e-08,101,True
synthetic_cheap_signal,51967,0.0010708501965768374,0.007544010041103027,63,"[0, 1, 2, 3, 4, 5]",355.0,0.39723731832555265,9.358449572569141e-08,101,True
synthetic_cheap_signal,51967,0.0009336511495310058,0.006577459358428475,63,"[0, 1, 2, 3, 4, 5]",355.0,0.39625819643367066,9.478412269084619e-08,100,True
synthetic_cheap_signal,51967,0.0008140302647439628,0.005734744701566264,63,"[0, 1, 2, 3, 4, 5]",355.0,0.3953996617204257,9.50383260169303e-08,99,True
synthetic_cheap_signal,51967,0.0007097353998353547,0.005,63,"[0, 1, 2, 3, 4, 5]",355.0,0.39464739999839443,9.44666123251683e-08,98,True
synthetic_cheap_signal,51967,0.0,0.0,63,"[0, 1, 2, 3, 4, 5]",355.0,0.38943411280946416,9.659384868644328e-08,127,True
synthetic_expensive_signal,51967,0.161826715923277,1.05,0,[],0.0,0.6743172745058382,8.33442846232088e-08,17,True
synthetic_expensive_signal,51967,0.1410932171741482,0.9154723136264682,16,[4],90.0,0.6734419741587176,4.918278418504407e-08,12,True
synthetic_expensive_signal,51967,0.12301612758420875,0.7981805304919987,16,[4],90.0,0.6692473150286844,5.7007487688180834e-08,14,True
synthetic_expensive_signal,51967,0.10725510374560415,0.6959163589915349,16,[4],90.0,0.6626048525287811,4.522621138753605e-08,16,True
synthetic_expensive_signal,51967,0.09351340759450964,0.6067544373871318,16,[4],90.0,0.6543725886201431,9.916004296474303e-08,17,True
synthetic_expensive_signal,51967,0.0815323196244197,0.5290160843789748,16,[4],90.0,0.6451883251531322,9.696367151166762e-08,19,True
synthetic_expensive_signal,51967,0.071086267887524,0.46123769401146186,20,"[2, 4]",125.0,0.6348253676464206,8.143533492967222e-08,22,True
synthetic_expensive_signal,51967,0.06197858107625,0.4021431798746762,20,"[2, 4]",125.0,0.6229974174491284,7.149774075660143e-08,25,True
synthetic_expensive_signal,51967,0.054037785726819255,0.35061994979902356,20,"[2, 4]",125.0,0.6103335168753755,6.783167219171023e-08,28,True
synthetic_expensive_signal,51967,0.04711437783103101,0.3056979587105792,20,"[2, 4]",125.0,0.5973199686705043,6.793649765218543e-08,31,True
synthetic_expensive_signal,51967,0.041078008074329084,0.26653144526825,20,"[2, 4]",125.0,0.5843253173971568,9.930942129658632e-08,33,True
synthetic_expensive_signal,51967,0.03581502770568837,0.2323830084323154,20,"[2, 4]",125.0,0.5716232240152944,7.307158475647656e-08,37,True
synthetic_expensive_signal,51967,0.031226348834592948,0.2026097241685818,20,"[2, 4]",125.0,0.5594110333800191,7.608326179132947e-08,40,True
synthetic_expensive_signal,51967,0.027225578870201873,0.17665104090269723,20,"[2, 4]",125.0,0.5478250108896278,7.832504324891132e-08,43,True
synthetic_expensive_signal,51967,0.023737393979165335,0.15401822582830108,20,"[2, 4]",125.0,0.5369529006252981,7.917903275340379e-08,46,True
synthetic_expensive_signal,51967,0.020696120938637597,0.13428516337112248,20,"[2, 4]",125.0,0.5268442949230163,9.81242757189204e-08,48,True
synthetic_expensive_signal,51967,0.018044500684559768,0.11708033256863788,20,"[2, 4]",125.0,0.5175191968063805,9.309156436240276e-08,51,True
synthetic_expensive_signal,51967,0.01573261027612221,0.10207981232073073,20,"[2, 4]",125.0,0.5089750763193823,8.6108931550424e-08,54,True
synthetic_expensive_signal,51967,0.013716922979871569,0.08900118281887143,20,"[2, 4]",125.0,0.5011926614276092,9.362678670331937e-08,56,True
synthetic_expensive_signal,51967,0.011959488777351514,0.07759820833398522,20,"[2, 4]",125.0,0.4941406591628255,9.728926543519068e-08,58,True
synthetic_expensive_signal,51967,0.010427219867420739,0.06765620125407824,21,"[0, 2, 4]",135.0,0.4877794793957364,9.70352613944965e-08,60,True
synthetic_expensive_signal,51967,0.009091267711161465,0.05898798008880854,21,"[0, 2, 4]",135.0,0.4820413423547516,9.377098007639026e-08,62,True
synthetic_expensive_signal,51967,0.007926479890794848,0.05143034534100341,21,"[0, 2, 4]",135.0,0.4768700215949491,8.808569342737543e-08,64,True
synthetic_expensive_signal,51967,0.006910926556704413,0.04484100689517775,21,"[0, 2, 4]",135.0,0.47222818069692984,9.351442467602461e-08,65,True
synthetic_expensive_signal,51967,0.006025487546827422,0.03909590507397029,29,"[0, 2, 3, 4]",195.0,0.4680752374217214,9.566254739396656e-08,66,True
synthetic_expensive_signal,51967,0.005253492404972924,0.03408687492513176,29,"[0, 2, 3, 4]",195.0,0.4643661527064757,9.436296356858568e-08,67,True
synthetic_expensive_signal,51967,0.004580406520571087,0.02971960976381563,31,"[0, 1, 2, 3, 4]",215.0,0.4610575444407311,9.055724049983713e-08,68,True
synthetic_expensive_signal,51967,0.003993557480701881,0.025911885629101027,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4581087116646352,9.79587135421042e-08,68,True
synthetic_expensive_signal,51967,0.0034818964823413717,0.022592013225997663,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4554852249817796,9.073215613886539e-08,69,True
synthetic_expensive_signal,51967,0.0030357903128542057,0.019697488207127474,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4531552770377895,9.400854662190848e-08,69,True
synthetic_expensive_signal,51967,0.002646839982279485,0.017173814382484817,63,"[0, 1, 2, 3, 4, 5]",355.0,0.45109062234732533,9.540861323151595e-08,69,True
synthetic_expensive_signal,51967,0.0023077225927394676,0.014973477701452284,63,"[0, 1, 2, 3, 4, 5]",355.0,0.44926463252302357,9.50659014593684e-08,69,True
synthetic_expensive_signal,51967,0.0020120534677935922,0.01305505168988843,63,"[0, 1, 2, 3, 4, 5]",355.0,0.447652507588033,9.318808983507694e-08,69,True
synthetic_expensive_signal,51967,0.0017542659460011028,0.011382417500052658,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4462313715554168,9.003033909185083e-08,69,True
synthetic_expensive_signal,51967,0.0015295065755254818,0.0099240838889863,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4449802877085482,9.718563762925261e-08,68,True
synthetic_expensive_signal,51967,0.001333543736574484,0.008652594322355657,63,"[0, 1, 2, 3, 4, 5]",355.0,0.44388021911473197,9.155524153299858e-08,68,True
synthetic_expensive_signal,51967,0.001162687971279932,0.007544010041103027,63,"[0, 1, 2, 3, 4, 5]",355.0,0.442913952311986,9.647064875960382e-08,67,True
synthetic_expensive_signal,51967,0.0010137225210412424,0.006577459358428475,63,"[0, 1, 2, 3, 4, 5]",355.0,0.442065996986503,8.915234098442285e-08,67,True
synthetic_expensive_signal,51967,0.0008838427635360778,0.005734744701566264,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4413224710801608,9.223205863055932e-08,66,True
synthetic_expensive_signal,51967,0.0007706034091584618,0.005,63,"[0, 1, 2, 3, 4, 5]",355.0,0.44067097839965547,9.468951379865435e-08,65,True
synthetic_expensive_signal,51967,0.0,0.0,63,"[0, 1, 2, 3, 4, 5]",355.0,0.43615591560656314,9.232113185561115e-08,84,True
synthetic_free_signal,51967,0.012725372138957174,1.05,0,[],0.0,0.47093610293952737,9.355421205623439e-08,75,True
synthetic_free_signal,51967,0.011094977022675164,0.9154723136264682,2,[1],20.0,0.47092896817609997,8.939377256396031e-08,30,True
synthetic_free_signal,51967,0.00967347074721994,0.7981805304919987,2,[1],20.0,0.4708953685558468,8.923525591886154e-08,34,True
synthetic_free_signal,51967,0.008434090138814665,0.6959163589915349,7,"[0, 1, 2]",65.0,0.4708233635730965,7.363739107618965e-08,30,True
synthetic_free_signal,51967,0.007353500964490326,0.6067544373871318,23,"[0, 1, 2, 4]",155.0,0.47069377757164066,9.641374858692261e-08,34,True
synthetic_free_signal,51967,0.006411358610682309,0.5290160843789748,55,"[0, 1, 2, 4, 5]",295.0,0.4705190052272709,8.943370184525907e-08,40,True
synthetic_free_signal,51967,0.005589925048390772,0.4612376940114618,63,"[0, 1, 2, 3, 4, 5]",355.0,0.47030501958467014,9.460437993545762e-08,42,True
synthetic_free_signal,51967,0.004873734873379855,0.4021431798746762,63,"[0, 1, 2, 3, 4, 5]",355.0,0.47005481092175483,9.548148063483963e-08,43,True
synthetic_free_signal,51967,0.004249304133842912,0.35061994979902356,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46978629444379844,8.628632157548585e-08,44,True
synthetic_free_signal,51967,0.0037048764635349385,0.3056979587105792,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4695131008766256,8.894941429464615e-08,44,True
synthetic_free_signal,51967,0.0032302017407357885,0.26653144526825,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4692446731626585,8.897642726690388e-08,44,True
synthetic_free_signal,51967,0.002816343105782511,0.2323830084323154,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46898730292764446,8.69944642177675e-08,44,True
synthetic_free_signal,51967,0.002455508703825399,0.2026097241685818,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4687449396635167,9.917718572547388e-08,43,True
synthetic_free_signal,51967,0.00214090498497235,0.17665104090269723,63,"[0, 1, 2, 3, 4, 5]",355.0,0.4685198185253332,9.383661884065657e-08,43,True
synthetic_free_signal,51967,0.0018666087998543588,0.15401822582830108,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46831294281521685,8.772185530423376e-08,43,True
synthetic_free_signal,51967,0.0016274558825125662,0.13428516337112248,63,"[0, 1, 2, 3, 4, 5]",355.0,0.46812445084165744,9.627605962917612e-08,42,True
