task,seed,mask_id,selected_groups,selected_features,n_groups,n_features,cost,in_path_with_boundaries,refit_gradient_inf,val_bce,val_auroc,val_ap,method,alpha,validation_objective,truth_groups,test_bce,test_auroc,test_ap
synthetic_cheap_signal,51966,1,[0],"[0, 1, 2, 3, 4]",1,5,10.0,True,3.171767382035575e-09,0.527080143140536,0.8079780197415286,0.7715801574864538,group_lasso_path_refit,0.005,0.577080143140536,"[0, 1]",0.5068309074279084,0.8234427873167063,0.7876077904820795
synthetic_cheap_signal,51966,1,[0],"[0, 1, 2, 3, 4]",1,5,10.0,True,3.171767382035575e-09,0.527080143140536,0.8079780197415286,0.7715801574864538,enumerated_refit,0.005,0.577080143140536,"[0, 1]",0.5068309074279084,0.8234427873167063,0.7876077904820795
synthetic_cheap_signal,51966,1,[0],"[0, 1, 2, 3, 4]",1,5,10.0,True,3.171767382035575e-09,0.527080143140536,0.8079780197415286,0.7715801574864538,group_lasso_path_refit,0.01,0.627080143140536,"[0, 1]",0.5068309074279084,0.8234427873167063,0.7876077904820795
synthetic_cheap_signal,51966,1,[0],"[0, 1, 2, 3, 4]",1,5,10.0,True,3.171767382035575e-09,0.527080143140536,0.8079780197415286,0.7715801574864538,enumerated_refit,0.01,0.627080143140536,"[0, 1]",0.5068309074279084,0.8234427873167063,0.7876077904820795
synthetic_cheap_signal,51966,0,[],"[0, 1]",0,2,0.0,True,1.4951453170192402e-09,0.6795856247673377,0.5708291911609302,0.5178061482461095,group_lasso_path_refit,0.02,0.6795856247673377,"[0, 1]",0.6661107064661886,0.6064904749968668,0.5487299200594644
synthetic_cheap_signal,51966,0,[],"[0, 1]",0,2,0.0,True,1.4951453170192402e-09,0.6795856247673377,0.5708291911609302,0.5178061482461095,enumerated_refit,0.02,0.6795856247673377,"[0, 1]",0.6661107064661886,0.6064904749968668,0.5487299200594644
synthetic_cheap_signal,51966,0,[],"[0, 1]",0,2,0.0,True,1.4951453170192402e-09,0.6795856247673377,0.5708291911609302,0.5178061482461095,free_only,,,"[0, 1]",0.6661107064661886,0.6064904749968668,0.5487299200594644
synthetic_cheap_signal,51966,63,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",6,20,355.0,True,1.3814335581595471e-09,0.4389915492500596,0.8744980469820196,0.8394756907538621,all_checks,,,"[0, 1]",0.4072454866126115,0.8932901992730918,0.8704841556936072
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,group_lasso_path_refit,0.0,0.4498611080899439,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,enumerated_refit,0.0,0.4498611080899439,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,group_lasso_path_refit,0.00025,0.4811111080899439,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,enumerated_refit,0.00025,0.4811111080899439,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,group_lasso_path_refit,0.0005,0.512361108089944,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,enumerated_refit,0.0005,0.512361108089944,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,group_lasso_path_refit,0.001,0.574861108089944,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,20,"[2, 4]","[0, 1, 8, 9, 10, 14, 15, 16]",2,8,125.0,True,1.5029002907032343e-09,0.4498611080899439,0.8694430864973501,0.854131833886234,enumerated_refit,0.001,0.574861108089944,"[2, 4]",0.4645218129437777,0.8605840889330518,0.857119711857022
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,group_lasso_path_refit,0.002,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,enumerated_refit,0.002,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,group_lasso_path_refit,0.005,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,enumerated_refit,0.005,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,group_lasso_path_refit,0.01,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,enumerated_refit,0.01,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,group_lasso_path_refit,0.02,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,enumerated_refit,0.02,0.6845130482644108,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
synthetic_expensive_signal,51966,0,[],"[0, 1]",0,2,0.0,True,9.775372897977861e-11,0.6845130482644108,0.5635713232612457,0.5006043457826579,free_only,,,"[2, 4]",0.6761476532972717,0.6019826729598807,0.5496447956156738
