task,seed,candidate_id,family,lambda,selected_groups,selected_features,cost,n_groups,n_features,train_objective,stationarity,converged,iterations,warmup_iterations,val_bce,val_auroc,val_ap,gt_groups,gt_cost,information_sufficient,exact_gt,missing_groups,extra_groups,n_missing,n_extra,actual_cost,unnecessary_spend,excess_cost_if_sufficient
nonlinear_interaction,51966,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.6048834661931317,0.006512499822198708,False,1500,1500,0.46572636100149073,0.8508206686930091,0.863242320353335,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,mlp_uniform_5,mlp_uniform,0.1,"[0, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 11, 12, 13]",90.0,3,11,0.7717893700241206,0.006315322290258342,False,1500,1500,0.5791354530038755,0.7958488927485887,0.8045616656128352,"[0, 1]",30.0,True,False,[],[3],0,1,90.0,60.0,60.0
nonlinear_interaction,51966,mlp_cost_weighted_1,mlp_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.24283200375418568,0.001508133505727073,False,1500,1500,1.0330221669487956,0.7255058619192357,0.7369482900989268,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,mlp_cost_weighted_2,mlp_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.3076615183062918,0.001302201634848731,False,1500,1500,0.9168238618767593,0.7409465914025184,0.7548601013428377,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,mlp_cost_weighted_3,mlp_cost_weighted,0.01,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",215.0,5,17,0.4060980379576641,0.00439421240439035,False,1500,1500,0.6984463366218989,0.7850629613547546,0.8000569517359709,"[0, 1]",30.0,True,False,[],"[2, 3, 4]",0,3,215.0,185.0,185.0
nonlinear_interaction,51966,mlp_cost_weighted_4,mlp_cost_weighted,0.03,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",215.0,5,17,0.5081839885742739,0.003704580831473875,False,1500,1500,0.48681065322816675,0.8378289188015631,0.8486796626041063,"[0, 1]",30.0,True,False,[],"[2, 3, 4]",0,3,215.0,185.0,185.0
nonlinear_interaction,51966,mlp_cost_weighted_5,mlp_cost_weighted,0.1,"[0, 1]","[0, 1, 2, 3, 4, 5, 6, 7]",30.0,2,8,0.5977000773022956,0.0047888612845442,False,1500,1500,0.4694195973350866,0.84811115935736,0.8623874272181244,"[0, 1]",30.0,True,True,[],[],0,0,30.0,0.0,0.0
nonlinear_interaction,51966,logistic_all,logistic_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.7013817930378494,0.4967260095527573,0.536580593002767,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,logistic_free,logistic_free,0,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183735034663,0.4604429005644811,0.49009688337747614,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
nonlinear_interaction,51966,logistic_cost_weighted_0,logistic_cost_weighted,0.0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.7013817930378493,0.4967260095527573,0.536580593002767,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,logistic_cost_weighted_1,logistic_cost_weighted,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.7002733947369676,0.49632653061224485,0.5352040849051503,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,logistic_cost_weighted_2,logistic_cost_weighted,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,,,,,0,0.6987300539174505,0.4937733391228831,0.5304638753358918,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
nonlinear_interaction,51966,logistic_cost_weighted_3,logistic_cost_weighted,0.01,"[0, 1, 2, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",125.0,4,14,,,,,0,0.6974711302327314,0.4854537559704733,0.5088151355549337,"[0, 1]",30.0,True,False,[],"[2, 3]",0,2,125.0,95.0,95.0
nonlinear_interaction,51966,logistic_cost_weighted_4,logistic_cost_weighted,0.03,[0],"[0, 1, 2, 3, 4]",10.0,1,5,,,,,0,0.6974806329449663,0.454398610508033,0.49317686590881493,"[0, 1]",30.0,False,False,[1],[],1,0,10.0,0.0,
nonlinear_interaction,51966,logistic_cost_weighted_5,logistic_cost_weighted,0.1,[],"[0, 1]",0.0,0,2,,,,,0,0.6962183830547997,0.4604429005644811,0.49009688337747614,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
linear_control,51967,mlp_all,mlp_all,0,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.17211746710068349,0.0005564690181474307,False,1500,0,1.0873214183603253,0.7782137648447809,0.7681729245266176,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,mlp_free,mlp_free,0,[],"[0, 1]",0.0,0,2,0.6877766115883853,9.956030812813823e-05,True,1278,0,0.6966944273940688,0.515573998194319,0.519825561953148,"[0, 1]",30.0,False,False,"[0, 1]",[],2,0,0.0,0.0,
linear_control,51967,mlp_uniform_1,mlp_uniform,0.001,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.2087464270595147,0.0007792230537476839,False,1500,1500,1.0043843253990659,0.779741648725606,0.764843950854775,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,mlp_uniform_2,mlp_uniform,0.003,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.27022291263816917,0.001211728159845115,False,1500,1500,0.8987677573984468,0.7906278213764846,0.7703000795759694,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,mlp_uniform_3,mlp_uniform,0.01,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4204631202773741,0.004372944302609662,False,1500,1500,0.6394090960622144,0.8195187165775402,0.8059338073051894,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
linear_control,51967,mlp_uniform_4,mlp_uniform,0.03,"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",355.0,6,20,0.4955548942439421,0.006387460257170601,False,1500,1500,0.46134805642741944,0.8650600736162234,0.862414491988561,"[0, 1]",30.0,True,False,[],"[2, 3, 4, 5]",0,4,355.0,325.0,325.0
